bowler,date,venue,bowling_team,rolling_avg_wickets,overs_bowled_last5,venue_wicket_rate,bowler_career_avg,next_match_wicket
DW Steyn,2011-05-03,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,1.2,3.9333333333333327,1.6,1.2,2.0
DT Christian,2011-05-03,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,0.4,3.3666666666666663,0.25,0.375,1.0
A Mishra,2011-05-03,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,1.2,3.8,1.25,1.3846153846153846,1.0
R Bhatia,2011-05-03,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,0.8,2.6333333333333333,3.0,1.0,1.0
L Balaji,2011-05-03,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,1.2,3.7666666666666666,2.0,1.135135135135135,2.0
PP Ojha,2011-05-03,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,1.2,3.866666666666667,0.2857142857142857,1.25,1.0
I Sharma,2011-05-03,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,1.4,3.9666666666666672,0.4,0.8421052631578947,2.0
S Dhawan,2011-05-03,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,1.0,1.0,0.0,1.0,1.0
B Lee,2011-05-03,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,1.0,3.9333333333333336,0.8571428571428571,0.8888888888888888,0.0
JH Kallis,2011-05-03,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,0.8,2.6666666666666665,0.0,0.6363636363636364,1.0
YK Pathan,2011-05-03,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,1.2,3.1,2.0,0.7441860465116279,1.0
Iqbal Abdulla,2011-05-03,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,1.6,3.5,0.0,1.25,0.0
